unit_id,name
615,Omnivore
616,Vegan
617,Omnivore
618,Vegan
619,Vegetarian
620,Omnivore
621,Vegan
622,Vegan
623,Omnivore
624,Vegetarian
625,Omnivore
626,Omnivore
627,Vegetarian
628,Omnivore
629,Vegan
630,Omnivore
631,Vegetarian
632,Omnivore
633,Omnivore
634,Vegetarian
635,Vegan
636,Omnivore
637,Vegetarian
638,Vegetarian
639,Vegetarian
640,Vegan
641,Omnivore
642,Vegetarian
643,Omnivore
644,Vegetarian
645,Vegetarian
646,Omnivore
647,Omnivore
648,Vegetarian
649,Vegetarian
650,Vegetarian
651,Omnivore
652,Omnivore
653,Omnivore
654,Vegan
655,Vegetarian
656,Vegetarian
657,Omnivore
658,Vegetarian
659,Vegan
660,Omnivore
661,Omnivore
662,Omnivore
663,Omnivore
664,Omnivore
665,Omnivore
666,Vegan
667,Omnivore
668,Omnivore
669,Omnivore
670,Vegetarian
671,Vegetarian
672,Omnivore
673,Vegetarian
674,Vegetarian
675,Vegetarian
676,Vegan
677,Omnivore
678,Omnivore
679,Omnivore
680,Vegetarian
681,Vegetarian
682,Omnivore
683,Omnivore
684,Omnivore
685,Omnivore
686,Omnivore
687,Vegetarian
688,Omnivore
689,Vegetarian
690,Omnivore
691,Omnivore
692,Omnivore
693,Omnivore
694,Omnivore
695,Omnivore
696,Vegetarian
697,Vegetarian
698,Omnivore
699,Vegan
700,Vegan
701,Vegetarian
702,Vegan
703,Vegan
704,Vegetarian
705,Omnivore
706,Vegetarian
707,Omnivore
708,Omnivore
709,Omnivore
710,Vegan
711,Vegan
712,Vegetarian
713,Vegan
714,Vegan
715,Vegan
716,Vegan
717,Vegetarian
718,Vegan
719,Vegetarian
720,Vegan
721,Vegan
722,Vegan
723,Vegan
724,Vegan
725,Vegan
726,Vegan
727,Vegetarian
728,Vegan
729,Vegan
730,Vegan
731,Vegan
732,Vegan
733,Vegan
734,Vegan
735,Vegetarian
736,Vegan
737,Vegan
738,Vegan
739,Vegan
740,Vegan
741,Vegan
742,Vegan
743,Vegetarian
744,Vegan
745,Vegan
746,Vegan
747,Vegan
748,Vegan
749,Vegan
750,Vegan
751,Vegan
752,Vegan
753,Omnivore
754,Vegetarian
755,Vegan
756,Vegetarian
757,Vegan
758,Omnivore
759,Vegan
760,Vegan
761,Vegan
762,Vegan
763,Vegan
764,Vegan
765,Vegan
766,Omnivore
767,Vegan
768,Vegan
769,Vegan
770,Vegan
771,Vegan
772,Vegan
773,Vegan
774,Vegan
775,Vegan
776,Vegan
777,Vegan
778,Vegan
779,Vegan
780,Vegan
781,Vegan
782,Vegan
783,Vegan
784,Vegan
785,Vegan
786,Omnivore
787,Vegan
788,Vegan
789,Vegetarian
790,Vegan
791,Vegetarian
792,Vegetarian
793,Vegetarian
794,Vegan
795,Vegan
796,Vegan
797,Vegan
798,Vegan
799,Vegan
800,Vegan
801,Vegan
802,Vegan
803,Vegan
804,Vegan
805,Vegan
806,Vegan
807,Vegetarian
808,Vegan
809,Vegan
810,Vegan
811,Vegan
812,Vegan
813,Vegan
814,Vegan
815,Omnivore
816,Vegan
817,Vegan
818,Vegan
819,Vegan
820,Vegan
821,Vegan
822,Omnivore
823,Vegan
824,Vegan
825,Vegan
826,Vegan
827,Vegan
828,Vegan
829,Vegan
830,Vegan
831,Vegan
832,Vegetarian
833,Vegan
834,Vegan
835,Vegan
836,Vegan
837,Vegan
838,Vegan
839,Vegan
